iter	Passed	Remaining
405	6418	25198
406	6432	25178
407	6447	25157
408	6461	25136
409	6476	25115
410	6490	25093
411	6504	25071
412	6520	25053
413	6535	25037
414	6549	25014
415	6562	24989
416	6578	24972
417	6592	24950
418	6606	24926
419	6619	24903
420	6633	24877
421	6646	24853
422	6660	24830
423	6675	24810
424	6688	24786
425	6702	24763
426	6717	24746
427	6733	24731
428	6748	24711
429	6763	24694
430	6778	24675
431	6792	24653
432	6806	24633
433	6820	24610
434	6834	24589
435	6850	24573
436	6867	24563
437	6884	24549
438	6899	24531
439	6914	24515
440	6932	24505
441	6948	24493
442	6963	24473
443	6978	24456
444	6993	24439
445	7008	24419
446	7023	24401
447	7037	24380
448	7052	24360
449	7066	24340
450	7080	24317
451	7095	24300
452	7110	24281
453	7122	24255
454	7137	24234
455	7151	24215
456	7166	24195
457	7180	24175
458	7196	24160
459	7211	24141
460	7225	24121
461	7240	24102
462	7255	24086
463	7269	24064
464	7283	24041
465	7298	24025
466	7314	24009
467	7328	23990
468	7343	23970
469	7358	23952
470	7372	23932
471	7386	23911
472	7400	23891
473	7416	23875
474	7430	23855
475	7446	23841
476	7460	23819
477	7473	23797
478	7487	23773
479	7501	23755
480	7520	23750
481	7535	23731
482	7551	23717
483	7567	23701
484	7582	23685
485	7597	23668
486	7612	23650
487	7626	23629
488	7643	23617
489	7659	23604
490	7674	23586
491	7690	23571
492	7706	23557
493	7722	23543
494	7736	23523
495	7752	23506
496	7768	23492
497	7781	23470
498	7796	23452
499	7811	23433
500	7824	23410
501	7840	23395
502	7854	23377
503	7869	23359
504	7883	23339
505	7899	23323
506	7915	23308
507	7931	23294
508	7944	23272
509	7960	23256
510	7975	23239
511	7988	23217
512	8003	23198
513	8018	23182
514	8032	23160
515	8048	23148
516	8064	23131
517	8078	23112
518	8094	23098
519	8110	23083
520	8124	23063
521	8139	23045
522	8153	23025
523	8166	23004
524	8181	22984
525	8195	22965
526	8210	22948
527	8224	22929
528	8238	22909
529	8252	22887
530	8266	22869
531	8281	22851
532	8295	22831
533	8312	22821
534	8327	22803
535	8342	22787
536	8358	22771
537	8371	22750
538	8385	22730
539	8401	22714
540	8417	22700
541	8431	22681
542	8446	22664
543	8460	22645
544	8475	22626
545	8491	22612
546	8505	22592
547	8518	22572
548	8533	22554
549	8548	22535
550	8562	22518
551	8580	22508
552	8596	22493
553	8610	22473
554	8625	22456
555	8640	22441
556	8656	22425
557	8670	22406
558	8686	22391
559	8700	22373
560	8715	22356
561	8728	22334
562	8742	22314
563	8756	22294
564	8769	22274
565	8786	22262
566	8800	22241
567	8815	22224
568	8829	22204
569	8842	22183
570	8856	22164
571	8870	22144
572	8883	22124
573	8898	22106
574	8912	22088
575	8926	22068
576	8941	22052
577	8957	22036
578	8971	22018
579	8987	22004
580	9002	21987
581	9016	21968
582	9030	21949
583	9046	21935
584	9060	21916
585	9073	21894
586	9088	21877
587	9104	21862
588	9118	21845
589	9133	21828
590	9148	21811
591	9163	21795
592	9181	21783
593	9195	21766
594	9211	21751
595	9226	21735
596	9241	21718
597	9255	21698
598	9270	21683
599	9286	21667
600	9300	21649
601	9316	21635
602	9331	21618
603	9344	21598
604	9360	21584
605	9375	21565
606	9390	21550
607	9404	21531
608	9421	21519
609	9436	21502
610	9451	21485
611	9466	21469
612	9483	21457
613	9499	21443
614	9514	21426
615	9529	21409
616	9544	21393
617	9559	21376
618	9573	21359
619	9588	21342
620	9603	21326
621	9618	21310
622	9631	21287
623	9646	21271
624	9661	21256
625	9676	21239
626	9690	21220
627	9703	21200
628	9717	21179
629	9730	21161
630	9745	21144
631	9761	21129
632	9778	21116
633	9792	21098
634	9807	21082
635	9823	21068
636	9838	21052
637	9852	21032
638	9867	21017
639	9883	21002
640	9898	20985
641	9913	20969
642	9929	20956
643	9946	20942
644	9961	20926
645	9978	20915
646	9994	20899
647	10008	20882
648	10023	20865
649	10038	20849
650	10053	20832
651	10069	20818
652	10084	20802
653	10097	20782
654	10113	20768
655	10128	20750
656	10142	20732
657	10157	20716
658	10172	20699
659	10184	20677
660	10198	20659
661	10213	20643
662	10227	20625
663	10243	20610
664	10259	20595
665	10274	20578
666	10288	20560
667	10301	20541
668	10315	20522
669	10329	20504
670	10344	20489
671	10358	20471
672	10374	20455
673	10388	20437
674	10405	20426
675	10422	20413
676	10437	20397
677	10452	20380
678	10467	20364
679	10481	20346
680	10497	20332
681	10511	20313
682	10526	20298
683	10542	20284
684	10556	20264
685	10569	20245
686	10586	20232
687	10601	20216
688	10616	20201
689	10632	20185
690	10646	20168
691	10659	20147
692	10674	20132
693	10690	20117
694	10705	20101
695	10720	20084
696	10734	20067
697	10749	20050
698	10763	20034
699	10778	20017
700	10796	20006
701	10810	19988
702	10824	19971
703	10838	19953
704	10852	19934
705	10867	19918
706	10882	19902
707	10897	19887
708	10912	19869
709	10926	19852
710	10943	19839
711	10960	19827
712	10974	19810
713	10990	19795
714	11006	19780
715	11020	19762
716	11037	19750
717	11057	19742
718	11073	19728
719	11086	19708
720	11100	19692
721	11115	19675
722	11132	19662
723	11147	19646
724	11164	19633
725	11181	19622
726	11198	19608
727	11212	19590
728	11225	19572
729	11238	19552
730	11252	19534
731	11266	19516
732	11280	19498
733	11294	19480
734	11308	19463
735	11322	19445
736	11335	19426
737	11350	19410
738	11365	19394
739	11381	19379
740	11397	19365
741	11411	19346
742	11425	19329
743	11438	19310
744	11452	19292
745	11467	19275
746	11481	19259
747	11496	19242
748	11509	19223
749	11525	19209
750	11540	19192
751	11555	19177
752	11569	19158
753	11584	19143
754	11598	19125
755	11610	19105
756	11625	19088
757	11638	19070
758	11653	19053
759	11668	19038
760	11682	19020
761	11699	19007
762	11714	18991
763	11728	18974
764	11743	18958
765	11757	18940
766	11770	18921
767	11783	18901
768	11798	18886
769	11815	18873
770	11830	18857
771	11845	18841
772	11858	18823
773	11873	18807
774	11890	18794
775	11904	18777
776	11918	18759
777	11932	18742
778	11946	18724
779	11962	18710
780	11977	18694
781	11991	18677
782	12006	18661
783	12020	18644
784	12036	18629
785	12051	18613
786	12066	18598
787	12080	18580
788	12094	18563
789	12106	18542
790	12120	18525
791	12134	18507
792	12148	18490
793	12162	18473
794	12176	18456
795	12191	18440
796	12209	18429
797	12225	18415
798	12242	18402
799	12256	18385
800	12273	18371
801	12289	18356
802	12303	18339
803	12317	18323
804	12331	18305
805	12346	18290
806	12361	18274
807	12378	18261
808	12394	18246
809	12407	18228
810	12422	18212
811	12438	18197
812	12451	18179
813	12465	18161
814	12482	18148
815	12496	18131
816	12510	18114
817	12524	18097
818	12537	18078
819	12550	18060
820	12564	18043
821	12578	18025
822	12591	18007
823	12606	17991
824	12623	17978
825	12636	17960
826	12653	17946
827	12667	17930
828	12680	17912
829	12696	17897
830	12710	17880
831	12726	17865
832	12741	17850
833	12754	17831
834	12768	17814
835	12784	17800
836	12797	17782
837	12811	17765
838	12825	17747
839	12840	17731
840	12855	17716
841	12870	17700
842	12886	17686
843	12900	17669
844	12915	17653
845	12931	17639
846	12944	17621
847	12960	17606
848	12975	17590
849	12988	17573
850	13003	17556
851	13016	17539
852	13031	17523
853	13046	17507
854	13062	17492
855	13079	17479
856	13093	17463
857	13109	17448
858	13122	17430
859	13137	17414
860	13152	17398
861	13167	17383
862	13180	17365
863	13195	17349
864	13209	17332
865	13224	17317
866	13240	17303
867	13258	17291
868	13273	17275
869	13288	17259
870	13304	17245
871	13319	17229
872	13334	17213
873	13349	17198
874	13363	17181
875	13377	17165
876	13392	17149
877	13406	17131
878	13422	17117
879	13435	17100
880	13450	17084
881	13464	17066
882	13478	17050
883	13492	17033
884	13506	17017
885	13521	17000
886	13538	16987
887	13553	16972
888	13570	16958
889	13584	16942
890	13598	16925
891	13612	16908
892	13628	16893
893	13641	16876
894	13657	16861
895	13672	16846
896	13688	16831
897	13703	16816
898	13718	16800
899	13734	16786
900	13748	16769
901	13764	16755
902	13781	16742
903	13796	16727
904	13812	16711
905	13826	16696
906	13840	16679
907	13856	16664
908	13871	16648
909	13884	16631
910	13898	16613
911	13911	16596
912	13925	16579
913	13940	16563
914	13956	16549
915	13971	16534
916	13987	16519
917	14002	16504
918	14018	16489
919	14032	16473
920	14048	16458
921	14062	16441
922	14078	16427
923	14093	16411
924	14107	16395
925	14123	16380
926	14137	16363
927	14152	16348
928	14167	16333
929	14185	16320
930	14201	16306
931	14215	16289
932	14230	16274
933	14247	16261
934	14262	16245
935	14279	16231
936	14294	16216
937	14308	16199
938	14322	16183
939	14337	16168
940	14354	16153
941	14367	16137
942	14383	16122
943	14398	16107
944	14416	16094
945	14431	16078
946	14444	16061
947	14458	16044
948	14473	16029
949	14488	16013
950	14503	15998
951	14517	15981
952	14531	15965
953	14545	15948
954	14560	15932
955	14574	15916
956	14589	15900
957	14604	15885
958	14620	15870
959	14635	15855
960	14650	15839
961	14664	15823
962	14678	15806
963	14695	15793
964	14710	15777
965	14726	15762
966	14741	15747
967	14758	15734
968	14774	15719
969	14789	15704
970	14810	15695
971	14828	15683
972	14847	15671
973	14861	15654
974	14873	15636
975	14888	15620
976	14903	15604
977	14917	15588
978	14932	15572
979	14945	15555
980	14958	15537
981	14972	15521
982	14986	15505
983	15002	15490
984	15015	15473
985	15029	15456
986	15046	15442
987	15060	15425
988	15074	15409
989	15087	15392
990	15103	15378
991	15118	15362
992	15132	15346
993	15145	15328
994	15159	15311
995	15174	15296
996	15188	15280
997	15203	15264
998	15218	15248
999	15233	15233
1000	15247	15217
1001	15261	15200
1002	15277	15186
1003	15292	15170
1004	15306	15154
1005	15321	15138
1006	15335	15121
1007	15349	15106
1008	15363	15088
1009	15379	15074
1010	15392	15057
1011	15407	15041
1012	15424	15028
1013	15439	15013
1014	15455	14998
1015	15471	14984
1016	15486	14969
1017	15502	14954
1018	15517	14939
1019	15533	14924
1020	15548	14909
1021	15562	14892
1022	15577	14877
1023	15593	14862
1024	15608	14846
1025	15635	14843
1026	15650	14827
1027	15665	14812
1028	15679	14795
1029	15695	14781
1030	15712	14767
1031	15729	14753
1032	15744	14738
1033	15761	14724
1034	15776	14709
1035	15790	14693
1036	15806	14678
1037	15821	14662
1038	15836	14647
1039	15851	14632
1040	15867	14617
1041	15883	14602
1042	15897	14586
1043	15913	14572
1044	15928	14557
1045	15941	14539
1046	15959	14526
1047	15973	14510
1048	15988	14494
1049	16003	14478
1050	16018	14463
1051	16032	14447
1052	16045	14430
1053	16061	14415
1054	16076	14400
1055	16089	14383
1056	16105	14368
1057	16119	14352
1058	16133	14335
1059	16149	14321
1060	16164	14306
1061	16179	14290
1062	16194	14274
1063	16208	14258
1064	16225	14244
1065	16238	14228
1066	16253	14212
1067	16269	14197
1068	16282	14180
1069	16298	14165
1070	16312	14149
1071	16328	14134
1072	16342	14118
1073	16355	14101
1074	16370	14086
1075	16387	14072
1076	16400	14055
1077	16416	14040
1078	16430	14024
1079	16445	14008
1080	16458	13992
1081	16473	13976
1082	16488	13960
1083	16501	13944
1084	16517	13929
1085	16530	13912
1086	16545	13897
1087	16558	13880
1088	16572	13864
1089	16590	13851
1090	16607	13837
1091	16622	13821
1092	16635	13804
1093	16651	13789
1094	16665	13773
1095	16683	13760
1096	16697	13744
1097	16712	13728
1098	16725	13711
1099	16739	13696
1100	16754	13680
1101	16769	13665
1102	16784	13649
1103	16800	13635
1104	16818	13621
1105	16832	13605
1106	16846	13589
1107	16861	13574
1108	16874	13557
1109	16888	13541
1110	16903	13525
1111	16916	13509
1112	16933	13495
1113	16947	13478
1114	16965	13465
1115	16979	13449
1116	16994	13434
1117	17010	13419
1118	17026	13404
1119	17042	13390
1120	17057	13374
1121	17072	13359
1122	17085	13342
1123	17102	13328
1124	17115	13312
1125	17130	13296
1126	17145	13281
1127	17163	13267
1128	17177	13252
1129	17192	13236
1130	17209	13222
1131	17223	13206
1132	17237	13190
1133	17254	13176
1134	17270	13161
1135	17285	13146
1136	17300	13130
1137	17313	13114
1138	17326	13097
1139	17340	13081
1140	17355	13066
1141	17370	13050
1142	17383	13033
1143	17398	13018
1144	17414	13004
1145	17429	12988
1146	17442	12971
1147	17457	12956
1148	17472	12940
1149	17488	12926
1150	17502	12910
1151	17514	12892
1152	17529	12877
1153	17545	12862
1154	17560	12847
1155	17575	12832
1156	17589	12815
1157	17603	12799
1158	17618	12784
1159	17633	12769
1160	17648	12753
1161	17662	12737
1162	17676	12721
1163	17691	12706
1164	17705	12690
1165	17718	12673
1166	17733	12657
1167	17747	12642
1168	17761	12626
1169	17776	12610
1170	17790	12594
1171	17803	12577
1172	17818	12562
1173	17835	12548
1174	17850	12533
1175	17866	12518
1176	17880	12502
1177	17896	12487
1178	17910	12472
1179	17926	12457
1180	17942	12442
1181	17957	12427
1182	17972	12411
1183	17986	12395
1184	18001	12380
1185	18015	12364
1186	18030	12349
1187	18045	12334
1188	18059	12318
1189	18075	12303
1190	18092	12289
1191	18106	12273
1192	18121	12258
1193	18136	12242
1194	18151	12227
1195	18166	12212
1196	18183	12198
1197	18198	12183
1198	18211	12166
1199	18224	12149
1200	18240	12135
1201	18255	12119
1202	18270	12104
1203	18284	12088
1204	18298	12072
1205	18313	12057
1206	18327	12041
1207	18342	12025
1208	18356	12009
1209	18370	11994
1210	18385	11978
1211	18401	11963
1212	18416	11948
1213	18431	11933
1214	18445	11917
1215	18460	11901
1216	18477	11887
1217	18493	11873
1218	18507	11857
1219	18522	11842
1220	18539	11827
1221	18552	11811
1222	18565	11795
1223	18580	11779
1224	18594	11763
1225	18609	11748
1226	18624	11733
1227	18638	11717
1228	18654	11702
1229	18670	11688
1230	18684	11672
1231	18701	11657
1232	18716	11642
1233	18730	11627
1234	18747	11613
1235	18763	11598
1236	18778	11583
1237	18792	11566
1238	18806	11551
1239	18820	11535
1240	18837	11521
1241	18852	11505
1242	18867	11490
1243	18884	11476
1244	18898	11460
1245	18913	11445
1246	18928	11429
1247	18944	11415
1248	18958	11399
1249	18972	11383
1250	18986	11367
1251	18999	11350
1252	19014	11336
1253	19028	11320
1254	19042	11304
1255	19057	11288
1256	19072	11273
1257	19088	11259
1258	19103	11243
1259	19118	11228
1260	19132	11212
1261	19149	11198
1262	19164	11183
1263	19178	11167
1264	19193	11151
1265	19208	11136
1266	19222	11120
1267	19236	11105
1268	19249	11088
1269	19264	11073
1270	19278	11057
1271	19293	11042
1272	19306	11025
1273	19320	11009
1274	19334	10994
1275	19348	10978
1276	19366	10964
1277	19382	10949
1278	19395	10933
1279	19410	10918
1280	19424	10902
1281	19438	10886
1282	19453	10871
1283	19468	10856
1284	19484	10841
1285	19498	10825
1286	19512	10809
1287	19527	10794
1288	19542	10779
1289	19556	10763
1290	19570	10747
1291	19585	10732
1292	19599	10717
1293	19612	10700
1294	19628	10685
1295	19643	10670
1296	19658	10655
1297	19672	10639
1298	19687	10624
1299	19699	10607
1300	19714	10592
1301	19727	10575
1302	19743	10561
1303	19759	10546
1304	19772	10530
1305	19787	10515
1306	19802	10499
1307	19817	10484
1308	19831	10468
1309	19846	10453
1310	19861	10438
1311	19874	10421
1312	19889	10406
1313	19904	10391
1314	19918	10375
1315	19933	10360
1316	19947	10344
1317	19960	10328
1318	19976	10313
1319	19990	10298
1320	20003	10281
1321	20016	10265
1322	20031	10250
1323	20043	10233
1324	20057	10217
1325	20069	10201
1326	20084	10185
1327	20098	10170
1328	20112	10154
1329	20127	10139
1330	20141	10123
1331	20155	10107
1332	20169	10092
1333	20182	10076
1334	20197	10060
1335	20213	10046
1336	20227	10030
1337	20242	10015
1338	20258	10000
1339	20274	9985
1340	20287	9969
1341	20301	9954
1342	20315	9938
1343	20333	9924
1344	20347	9908
1345	20364	9894
1346	20379	9879
1347	20393	9863
1348	20407	9848
1349	20422	9832
1350	20436	9817
1351	20451	9802
1352	20465	9786
1353	20479	9770
1354	20496	9756
1355	20512	9741
1356	20526	9726
1357	20543	9712
1358	20561	9698
1359	20576	9682
1360	20589	9667
1361	20604	9651
1362	20619	9636
1363	20633	9620
1364	20647	9605
1365	20660	9589
1366	20676	9574
1367	20689	9558
1368	20704	9543
1369	20718	9527
1370	20731	9511
1371	20749	9497
1372	20763	9481
1373	20778	9466
1374	20793	9451
1375	20808	9436
1376	20826	9422
1377	20840	9406
1378	20854	9391
1379	20870	9376
1380	20884	9361
1381	20898	9345
1382	20914	9330
1383	20929	9315
1384	20943	9299
1385	20956	9283
1386	20971	9268
1387	20986	9253
1388	21000	9237
1389	21014	9222
1390	21030	9207
1391	21046	9192
1392	21060	9177
1393	21076	9162
1394	21090	9146
1395	21112	9134
1396	21127	9119
1397	21140	9103
1398	21154	9087
1399	21172	9073
1400	21186	9058
1401	21201	9043
1402	21215	9027
1403	21231	9012
1404	21246	8997
1405	21262	8982
1406	21275	8967
1407	21290	8951
1408	21306	8936
1409	21320	8921
1410	21335	8906
1411	21348	8890
1412	21363	8874
1413	21377	8859
1414	21392	8844
1415	21408	8829
1416	21423	8814
1417	21440	8800
1418	21453	8784
1419	21467	8768
1420	21483	8753
1421	21498	8738
1422	21513	8723
1423	21527	8707
1424	21542	8692
1425	21559	8678
1426	21573	8662
1427	21587	8646
1428	21603	8632
1429	21617	8616
1430	21632	8601
1431	21647	8586
1432	21661	8570
1433	21674	8555
1434	21689	8539
1435	21704	8524
1436	21718	8509
1437	21732	8493
1438	21744	8477
1439	21758	8461
1440	21772	8445
1441	21788	8431
1442	21804	8416
1443	21820	8401
1444	21836	8386
1445	21850	8371
1446	21866	8356
1447	21880	8341
1448	21894	8325
1449	21908	8310
1450	21923	8295
1451	21938	8279
1452	21953	8264
1453	21968	8249
1454	21983	8234
1455	21998	8219
1456	22012	8203
1457	22026	8188
1458	22041	8172
1459	22054	8157
1460	22068	8141
1461	22083	8126
1462	22097	8111
1463	22112	8095
1464	22126	8080
1465	22140	8064
1466	22154	8049
1467	22167	8033
1468	22184	8019
1469	22197	8003
1470	22213	7988
1471	22227	7972
1472	22241	7957
1473	22255	7941
1474	22270	7926
1475	22286	7911
1476	22299	7896
1477	22314	7881
1478	22329	7865
1479	22343	7850
1480	22357	7835
1481	22373	7820
1482	22387	7804
1483	22404	7790
1484	22417	7774
1485	22432	7759
1486	22445	7743
1487	22460	7728
1488	22478	7714
1489	22493	7699
1490	22507	7683
1491	22523	7668
1492	22538	7653
1493	22553	7638
1494	22566	7622
1495	22583	7608
1496	22598	7593
1497	22614	7578
1498	22630	7563
1499	22643	7547
1500	22658	7532
1501	22672	7517
1502	22687	7502
1503	22703	7487
1504	22718	7472
1505	22732	7456
1506	22748	7442
1507	22763	7426
1508	22777	7411
1509	22792	7396
1510	22809	7381
1511	22824	7366
1512	22837	7350
1513	22852	7335
1514	22875	7323
1515	22891	7308
1516	22906	7293
1517	22921	7278
1518	22936	7262
1519	22950	7247
1520	22965	7232
1521	22980	7217
1522	22995	7202
1523	23010	7187
1524	23025	7171
1525	23038	7156
1526	23057	7142
1527	23073	7127
1528	23089	7112
1529	23102	7096
1530	23117	7081
1531	23134	7067
1532	23149	7051
1533	23163	7036
1534	23178	7021
1535	23193	7006
1536	23209	6991
1537	23223	6976
1538	23238	6961
1539	23254	6946
1540	23270	6931
1541	23284	6915
1542	23297	6900
1543	23313	6885
1544	23330	6870
1545	23345	6855
1546	23358	6840
1547	23373	6824
1548	23389	6809
1549	23402	6794
1550	23420	6779
1551	23435	6764
1552	23449	6749
1553	23464	6734
1554	23479	6719
1555	23494	6704
1556	23508	6688
1557	23523	6673
1558	23537	6658
1559	23551	6642
1560	23564	6627
1561	23580	6612
1562	23593	6596
1563	23608	6581
1564	23623	6566
1565	23638	6551
1566	23651	6535
1567	23666	6520
1568	23680	6504
1569	23696	6490
1570	23712	6475
1571	23728	6460
1572	23743	6445
1573	23756	6429
1574	23771	6414
1575	23787	6399
1576	23802	6384
1577	23816	6369
1578	23830	6353
1579	23845	6338
1580	23861	6323
1581	23875	6308
1582	23889	6293
1583	23906	6278
1584	23922	6263
1585	23938	6248
1586	23953	6233
1587	23966	6218
1588	23980	6202
1589	23994	6187
1590	24009	6172
1591	24022	6156
1592	24038	6141
1593	24052	6126
1594	24067	6111
1595	24082	6095
1596	24096	6080
1597	24111	6065
1598	24125	6050
1599	24139	6034
1600	24153	6019
1601	24168	6004
1602	24183	5989
1603	24196	5973
1604	24212	5958
1605	24228	5943
1606	24242	5928
1607	24257	5913
1608	24272	5898
1609	24287	5883
1610	24302	5868
1611	24321	5853
1612	24338	5839
1613	24354	5824
1614	24370	5809
1615	24386	5794
1616	24400	5779
1617	24416	5764
1618	24430	5749
1619	24446	5734
1620	24461	5719
1621	24476	5704
1622	24491	5689
1623	24506	5673
1624	24522	5658
1625	24538	5644
1626	24553	5629
1627	24570	5614
1628	24583	5598
1629	24596	5583
1630	24610	5567
1631	24625	5552
1632	24643	5538
1633	24659	5523
1634	24674	5508
1635	24691	5493
1636	24705	5478
1637	24720	5463
1638	24734	5447
1639	24749	5432
1640	24764	5417
1641	24779	5402
1642	24792	5387
1643	24807	5371
1644	24823	5356
1645	24838	5341
1646	24853	5326
1647	24868	5311
1648	24886	5297
1649	24900	5282
1650	24914	5266
1651	24930	5251
1652	24945	5236
1653	24959	5221
1654	24975	5206
1655	24992	5191
1656	25005	5176
1657	25019	5160
1658	25034	5145
1659	25048	5130
1660	25062	5115
1661	25078	5100
1662	25093	5085
1663	25107	5069
1664	25121	5054
1665	25134	5038
1666	25148	5023
1667	25162	5008
